city,street,endNode
"Boston, MA",Bowen St,D St
"Boston, MA",3rd Ave,16th St
"Boston, MA",Amory St,Dimock St
"Boston, MA",,Dorchester St
"Boston, MA",Almont St,Walk Hill St
"Boston, MA",Alabama St,Currier St
"Boston, MA",Abbotsford St,Crawford St
"Boston, MA",Alberta St,Centre St
"Boston, MA",Adams St,Msgr Patrick J Lydon Way
"Boston, MA",Augustus Ave,Metropolitan Ave
"Boston, MA",Boylston St,Cambria St
"Boston, MA",Allandale St,NA
"Boston, MA",,to SR-1A / I-93 N / Boston / Revere
"Boston, MA",Blue Hill Ave,Schuyler St
"Boston, MA",Annunciation Rd,NA
"Boston, MA",Albano St,Washington St
"Boston, MA",,Bellevue Hill Rd
"Boston, MA",,Saint James Ave
"Boston, MA",Allston St,Commonwealth Ter
"Boston, MA",Albany St,Eustis St
"Boston, MA",Academy Rd,NA
"Boston, MA",Akron St,Regent St
"Boston, MA",5th St,1st Ave
"Boston, MA",Austin St,NA
"Boston, MA",Arborway,Jamaicaway
"Boston, MA",Allston St,Bellvista Rd
"Boston, MA",Boylston St,Exeter St
"Boston, MA",Blue Hill Ave,Vesta Rd
"Boston, MA",Allston St,Griggs Pl
"Boston, MA",Allston St,Vinal St
"Boston, MA",,Blue Hill Ave
"Boston, MA",Arborway,St Rose St
"Boston, MA",Alabama St,NA
